noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.0,0.6112075522114693,0.17102750238461326,0.927339278065496,66.74,58.12,62.14
0.02,0.6216942793800656,0.1665662543633108,0.9273782173591372,66.49,59.1,62.58
0.04,0.6286531035001214,0.16220404252863374,0.9267746583076985,65.98,59.07,62.33
0.06,0.6379124488521897,0.15610347772794775,0.928176472878782,67.48,57.45,62.06
0.08,0.6481106243278961,0.15289281881048747,0.9305712394377166,67.5,60.23,63.66
0.1,0.6556110043072492,0.14834243208822814,0.9321872201238268,67.37,61.88,64.51
0.12,0.667393579695567,0.14213182262743007,0.9319535843619796,66.89,61.39,64.02
0.14,0.6732719510504488,0.14040610879982116,0.9350103189128148,68.75,61.54,64.95
0.16,0.6832554274313585,0.13567510505238686,0.9361590280752308,69.36,62.33,65.66
0.18,0.6920723571508102,0.12839836685383335,0.934465168801838,67.78,65.42,66.58
0.2,0.7004782562777402,0.12526965845233215,0.9381059927572912,69.93,64.56,67.13
0.22,0.7074501073884839,0.12234853143832701,0.9364121334838986,67.92,64.17,65.99
0.24,0.7146283022289339,0.11904697057747325,0.9404034110821228,70.49,67.57,69.0
0.26,0.7235969790906781,0.11515483948225587,0.9395272769751956,71.28,63.39,67.11
0.28,0.7367121449834743,0.10756607382328087,0.9419220435341304,71.36,66.44,68.81
0.3,0.7446187242190785,0.10599305275652415,0.9423698454110042,70.83,65.95,68.31
0.32,0.7510146599882935,0.10102693233041486,0.9445893851485534,72.87,67.65,70.17
0.34,0.7619909500248908,0.0943598517193231,0.9428955258751608,71.21,65.8,68.4
0.36,0.7659268432806544,0.09397560328098943,0.9436353724543436,72.24,69.0,70.58
0.38,0.7766238107538774,0.09377249723023333,0.9435380242202408,71.03,68.65,69.82
0.4,0.7793882573896544,0.08945212166742039,0.9445699155017327,72.47,68.65,70.51
0.42,0.7901628599587144,0.08381488528236769,0.9422919668237218,69.78,69.34,69.56
0.44,0.8011833368985076,0.08301017690825044,0.9489311163895487,73.76,71.43,72.57
0.46,0.8087182622851402,0.07551407948688929,0.9487948288618044,72.97,71.12,72.03
0.48,0.8098134437135008,0.07651344535183129,0.946146956894202,72.39,71.26,71.82
0.5,0.8244453699919515,0.0691687507317031,0.9463805926560492,72.62,68.72,70.61
0.52,0.8314854713885741,0.06839670615745365,0.9472956660566176,73.96,71.83,72.88
0.54,0.8382683848519084,0.06341913192623234,0.9495346754409876,75.72,70.52,73.03
0.56,0.8469194021888539,0.060915763784698436,0.9474124839375414,72.57,71.63,72.1
0.58,0.8534417429938956,0.05977817250463492,0.9473151357034384,71.14,72.25,71.69
0.6,0.8590632660010706,0.057029819663070136,0.950702854250224,72.7,72.99,72.84
0.62,0.8645118451732104,0.05512246115154091,0.947879755461236,72.61,70.57,71.57
0.64,0.8766125752580562,0.048381816848977854,0.94768505899303,71.49,70.97,71.23
0.66,0.8806974485027572,0.04497473666940925,0.9486390716872396,72.52,72.44,72.48
0.68,0.8908372629695193,0.044458829168078466,0.9488142985086252,71.17,72.81,71.98
0.7,0.8935187238442353,0.04132901211680239,0.9477045286398504,71.71,71.73,71.72
0.72,0.9052939921226764,0.03718361826776958,0.9496125540282699,71.9,74.22,73.04
0.74,0.9110854900952268,0.03794529755962873,0.9476461196993886,70.4,73.45,71.89
0.76,0.9164548397617222,0.03418025912449101,0.9456212764300456,71.03,70.67,70.85
0.78,0.9243826474145144,0.029454125111298742,0.9494567968537052,72.01,72.79,72.4
0.8,0.9300914788932793,0.030905839782787863,0.9490479342704724,71.13,73.14,72.12
0.82,0.9392982428167888,0.02605183085926021,0.9488727074490868,73.19,70.57,71.86
0.84,0.9457741937570633,0.022545970710943136,0.9476655893462093,72.55,71.04,71.79
0.86,0.9520604567014068,0.019439208192194253,0.9491452825045754,72.95,72.44,72.69
0.88,0.9591639777030168,0.015792653477624957,0.9504886881351972,71.9,74.19,73.03
0.9,0.9657958669274521,0.014383351224620134,0.9478018768739536,71.61,72.92,72.26
0.92,0.9733076075835518,0.011405210914602623,0.9464974105369728,71.38,72.1,71.74
0.94,0.9796047668859604,0.008974945160317223,0.9464000623028698,71.0,72.57,71.78
0.96,0.9863792948470912,0.005596612145094909,0.9534870137455708,74.18,74.34,74.26
0.98,0.9932837012013149,0.004012846582300781,0.9519683812935632,73.63,74.61,74.12
1.0,1.0,0.0,0.9512285347143803,74.12,73.21,73.66
