noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.32,0.7510146599882935,0.10102693233041486,0.9445893851485534,72.87,67.65,70.17
0.34,0.7619909500248908,0.0943598517193231,0.9428955258751608,71.21,65.8,68.4
0.36,0.7659268432806544,0.09397560328098943,0.9436353724543436,72.24,69.0,70.58
0.38,0.7766238107538774,0.09377249723023333,0.9435380242202408,71.03,68.65,69.82
0.4,0.7793882573896544,0.08945212166742039,0.9445699155017327,72.47,68.65,70.51
0.42,0.7901628599587144,0.08381488528236769,0.9422919668237218,69.78,69.34,69.56
0.44,0.8011833368985076,0.08301017690825044,0.9489311163895487,73.76,71.43,72.57
0.46,0.8087182622851402,0.07551407948688929,0.9487948288618044,72.97,71.12,72.03
0.48,0.8098134437135008,0.07651344535183129,0.946146956894202,72.39,71.26,71.82
0.5,0.8244453699919515,0.0691687507317031,0.9463805926560492,72.62,68.72,70.61
0.52,0.8314854713885741,0.06839670615745365,0.9472956660566176,73.96,71.83,72.88
0.54,0.8382683848519084,0.06341913192623234,0.9495346754409876,75.72,70.52,73.03
0.56,0.8469194021888539,0.060915763784698436,0.9474124839375414,72.57,71.63,72.1
0.58,0.8534417429938956,0.05977817250463492,0.9473151357034384,71.14,72.25,71.69
0.6,0.8590632660010706,0.057029819663070136,0.950702854250224,72.7,72.99,72.84
0.62,0.8645118451732104,0.05512246115154091,0.947879755461236,72.61,70.57,71.57
0.64,0.8766125752580562,0.048381816848977854,0.94768505899303,71.49,70.97,71.23
0.66,0.8806974485027572,0.04497473666940925,0.9486390716872396,72.52,72.44,72.48
0.68,0.8908372629695193,0.044458829168078466,0.9488142985086252,71.17,72.81,71.98
0.7,0.8935187238442353,0.04132901211680239,0.9477045286398504,71.71,71.73,71.72
0.72,0.9052939921226764,0.03718361826776958,0.9496125540282699,71.9,74.22,73.04
0.74,0.9110854900952268,0.03794529755962873,0.9476461196993886,70.4,73.45,71.89
0.76,0.9164548397617222,0.03418025912449101,0.9456212764300456,71.03,70.67,70.85
0.78,0.9243826474145144,0.029454125111298742,0.9494567968537052,72.01,72.79,72.4
0.8,0.9300914788932793,0.030905839782787863,0.9490479342704724,71.13,73.14,72.12
0.82,0.9392982428167888,0.02605183085926021,0.9488727074490868,73.19,70.57,71.86
0.84,0.9457741937570633,0.022545970710943136,0.9476655893462093,72.55,71.04,71.79
