noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.0,0.6112075522114693,0.17102750238461326,0.9250223900938436,65.57,57.52,61.28
0.05,0.6347574484600316,0.158610450588928,0.9279038978232936,67.0,60.35,63.5
0.1,0.6563462165157831,0.14695015706707004,0.92971457497761,67.0,59.13,62.82
0.15,0.6760382618117038,0.13786829587696747,0.9338810793972198,67.97,62.0,64.85
0.2,0.6993126402187696,0.12570965013481733,0.939507807328375,69.26,65.94,67.56
0.25,0.7184846743869704,0.1149776492628407,0.9374245551185699,68.35,65.28,66.78
0.3,0.7424696583645267,0.10612054383483792,0.9411821969549472,70.95,66.78,68.8
0.35,0.7673079448184289,0.09409443174630147,0.944219461858962,71.95,67.92,69.88
0.4,0.7845111172731003,0.08906423158988086,0.9450371870254274,71.22,68.13,69.64
0.45,0.8013245237391791,0.07895287808311177,0.9464974105369728,73.41,69.27,71.28
0.5,0.8238997384835781,0.06934638681133475,0.9469062731202056,73.3,69.2,71.19
0.55,0.8413855589123568,0.06206886046040359,0.94704256064795,72.68,69.64,71.13
0.6,0.8598873342611939,0.05461638539555578,0.946146956894202,71.13,71.09,71.11
0.65,0.8783039079651818,0.04745465315533784,0.9476071804057474,71.66,71.54,71.6
0.7,0.8956981887251696,0.0413644977989837,0.9475293018184652,71.0,71.68,71.34
0.75,0.913122530522966,0.03643934184582872,0.9477629375803124,72.1,73.87,72.97
0.8,0.9303220486198746,0.028174475708367605,0.9517152758848956,74.43,73.72,74.07
0.85,0.9484642993381583,0.021372736836729668,0.9499435380242204,71.95,74.1,73.01
0.9,0.965532448841455,0.014647020443752231,0.9516763365912544,75.21,74.07,74.64
0.95,0.9832039386332091,0.006784613549940814,0.9487169502745221,74.09,70.89,72.46
