noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.0,0.6112075522114693,0.17102750238461326,0.927339278065496,67.09,57.97,62.2
0.02,0.6001582067407055,0.16716243828059335,0.9243798917487636,66.9,55.46,60.65
0.04,0.5906309844035238,0.1646166694732077,0.9268720065418014,68.8,55.33,61.33
0.06,0.5783660897582357,0.16158830273598976,0.9244188310424049,68.64,54.13,60.53
0.08,0.5690190961398365,0.15927814469264145,0.9254896616175382,67.46,55.78,61.07
0.1,0.5593324159960769,0.15629956635364234,0.926735719014057,66.63,57.37,61.65
0.12,0.5487966802530159,0.15197892544289535,0.9268720065418014,66.79,56.69,61.33
0.14,0.5368215847235719,0.14838125688950796,0.9264047350181068,67.12,57.87,62.15
0.16,0.5291304040856842,0.1472359477566467,0.9251002686811262,66.81,55.01,60.34
0.18,0.5143502686400083,0.1442250056129422,0.9228028503562944,65.25,54.29,59.26
0.2,0.5073477805797932,0.1373184100312584,0.9266578404267748,66.36,56.49,61.03
0.22,0.4990321127252817,0.14014250654941554,0.921439975078852,64.88,55.53,59.84
0.24,0.4880681318470118,0.13724672315005965,0.9247303453915346,66.34,55.23,60.28
0.26,0.4778327668949438,0.1351019125598244,0.9218098983684436,65.62,54.02,59.25
0.28,0.4668657123382679,0.12621383576975875,0.921887776955726,63.44,54.35,58.55
0.3,0.451301411585668,0.1259125117976452,0.920544371325104,65.01,51.34,57.37
0.32,0.4434289088832066,0.11902370715030232,0.9207195981464896,65.92,51.22,57.65
0.34,0.4365029306712088,0.11773899009177274,0.9231143647054244,66.66,53.16,59.15
0.36,0.4232016768609536,0.11738402807950928,0.9192788442817648,64.82,52.89,58.25
0.38,0.4133818725519742,0.11413741133478505,0.9182274833534521,64.0,50.18,56.25
0.4,0.4054860405983092,0.10957419022897516,0.9208753553210544,65.64,52.23,58.17
0.42,0.3965198028104298,0.1103545345942298,0.9200770998014096,64.44,50.09,56.37
0.44,0.3836417878488392,0.1048384480252002,0.9188505120517114,64.9,50.78,56.98
0.46,0.374805703518054,0.101786827374946,0.9206611892060278,64.02,52.28,57.56
0.48,0.365967677119795,0.0961799850204978,0.9142167361084068,59.21,48.43,53.28
0.5,0.35035444265435706,0.09501317358055547,0.9131653751800942,60.1,46.44,52.39
0.52,0.3397860793143653,0.09375852519793364,0.9111210622639305,58.39,45.63,51.23
