noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.0,0.6112075522114693,0.17102750238461326,0.9240294381059928,64.69,55.41,59.7
0.02,0.6015498607956259,0.1680267221999075,0.9254896616175382,67.1,55.99,61.04
0.04,0.5899755019149961,0.16563799875431068,0.923523227288657,66.2,55.33,60.28
0.06,0.5806788838566547,0.16174440312395666,0.9261126903157976,67.21,57.2,61.8
0.08,0.5719755594568545,0.15981235026291013,0.9270472333631868,66.25,58.04,61.87
0.1,0.5603806639138506,0.15754759428369236,0.926638370779954,66.18,57.06,61.28
0.12,0.5467585470267909,0.1511699460744409,0.9265994314863129,68.24,55.06,60.94
0.14,0.5373762398829194,0.1525434323814709,0.9249445115065612,67.37,55.19,60.68
0.16,0.5273940411463913,0.14672605270924066,0.9239904988123516,65.28,55.43,59.95
0.18,0.519684213794758,0.14559278296154748,0.9244772399828668,64.07,56.24,59.9
0.2,0.5076578505060424,0.142138136892543,0.9262100385499008,66.86,57.28,61.7
0.22,0.4972775429091239,0.13951167387514565,0.9260737510221564,66.18,56.12,60.74
0.24,0.4881439110256659,0.13551158780946074,0.9252754955025116,68.1,55.11,60.92
0.26,0.4791821770907872,0.13219454919536824,0.92490557221292,67.05,54.49,60.12
0.28,0.466667511875095,0.12967712367168185,0.9185974066430436,66.64,50.23,57.28
0.3,0.4576755530471618,0.1258243636181931,0.9210700517892604,63.03,54.0,58.17
0.32,0.4483203813395345,0.1254180554778936,0.921186869670184,65.56,52.33,58.2
0.34,0.43575704309614577,0.11888680269645685,0.9227055021221916,66.4,53.65,59.35
0.36,0.4244424918764509,0.11544585829179027,0.9181496047661696,64.18,51.76,57.3
0.38,0.4108528380355211,0.11399662305079188,0.9198434640395624,65.77,51.44,57.73
0.4,0.40507459665399054,0.10859771560736464,0.9217125501343406,64.94,53.07,58.41
0.42,0.3912725857709686,0.10547198182481607,0.9185000584089404,65.15,50.04,56.6
0.44,0.386102157088993,0.10498985244132426,0.921790428721623,66.18,53.12,58.94
0.46,0.3791473280238061,0.10490178626939073,0.9208753553210544,65.97,52.3,58.35
0.48,0.3607063331893205,0.09881043981594943,0.9165725633737004,63.51,48.83,55.21
0.5,0.35015572082565705,0.09210816376019282,0.9164752151395974,61.81,49.13,54.75
0.52,0.3363079686919946,0.09186023947887052,0.9109653050893656,58.67,44.94,50.9
0.54,0.3315221405044368,0.08985833319394679,0.9140025699933804,61.92,47.36,53.67
0.56,0.3241110019307893,0.0909568240695433,0.912639694715938,59.39,48.34,53.3
0.58,0.3092901029058203,0.08466821781544034,0.9060200147969316,53.3,43.16,47.69
0.6,0.2984281123075211,0.07956569979938664,0.9059421362096493,54.93,43.41,48.5
0.62,0.2935458750272969,0.0797450392027894,0.9056695611541606,54.3,42.87,47.91
0.64,0.27745518174882383,0.07357897921562735,0.9051633503368248,52.89,43.76,47.89
0.66,0.27206555721614084,0.07109697412920528,0.906993497137962,55.99,42.4,48.26
0.68,0.2564626801465245,0.06714261069462313,0.8988746544137689,48.58,37.8,42.52
0.7,0.2518555928988944,0.06474953007776542,0.8930726996612282,43.06,34.96,38.59
0.72,0.2348058258702308,0.05892359614440198,0.9014446477940892,51.65,40.36,45.31
0.74,0.2280188937973065,0.05805660142326894,0.8952143608114949,45.08,35.83,39.93
0.76,0.2162645211287267,0.0546169840397078,0.8905416455745493,42.31,34.11,37.77
0.78,0.2064439235458934,0.05474741239920013,0.881001518632452,33.56,30.21,31.8
0.8,0.1967935047852459,0.04979078058027783,0.8759978193995561,28.2,27.24,27.71
0.82,0.18809146531944648,0.047990668081059236,0.877243876796075,31.66,26.84,29.05
