noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0.0,0.6112075522114693,0.17102750238461326,0.9284101086406292,67.77,58.41,62.74
0.02,0.5992928701080835,0.167551459982465,0.9260737510221564,67.59,57.32,62.03
0.04,0.5863551358021729,0.16402832401696413,0.9242241345741988,65.02,57.4,60.97
0.06,0.5790921812231539,0.16062883577383194,0.9270667030100074,69.03,57.79,62.91
0.08,0.5639936928758623,0.15612746633615082,0.9263268564308244,67.85,57.57,62.29
0.1,0.551033267216083,0.15181641744221308,0.9258595849071298,66.82,56.66,61.32
0.12,0.5377343779691932,0.14896622602197848,0.9250807990343056,66.34,55.4,60.38
0.14,0.5255575351470164,0.1467992297999263,0.9254896616175382,67.36,54.49,60.24
0.16,0.5157357653430297,0.14086615157457552,0.9230948950586036,65.01,54.55,59.32
0.18,0.504807744604401,0.1385488171794669,0.9233480004672716,61.85,57.82,59.77
0.2,0.6112075522114693,0.17102750238461326,0.9261905689030799,64.67,58.81,61.6
0.22,0.6112075522114693,0.17102750238461326,0.9284879872279116,67.89,57.35,62.18
0.24,0.4759571290273999,0.12887385603792295,0.9232895915268096,63.03,53.81,58.06
0.26,0.4607182088247681,0.12866925680563293,0.9251976169152292,66.22,55.5,60.39
0.28,0.44130672115607056,0.1231305454056778,0.9269304154822632,68.34,57.5,62.45
0.3,0.4307893231884634,0.12422512119829135,0.9249639811533821,67.45,54.89,60.53
0.32,0.4180758185732641,0.11543686014600454,0.9235426969354776,66.39,53.98,59.55
0.34,0.4086812123051193,0.11589815861141015,0.923367470114092,66.89,53.75,59.6
0.36,0.6112075522114693,0.17102750238461326,0.92778707994237,67.64,57.96,62.42
0.38,0.38193099255033575,0.10771003455107303,0.9219072466025466,63.75,53.54,58.2
0.4,0.3873279784690506,0.09884422542229432,0.9084731902963281,52.58,47.6,49.96
0.42,0.3696875907932313,0.09163180446938833,0.9110626533234688,55.39,46.78,50.72
0.44,0.3587020991938406,0.09095265548373473,0.9089599314668432,50.74,45.98,48.25
0.46,0.3341689122657233,0.09809002592216004,0.9084147813558662,49.1,45.55,47.26
0.48,0.32022038069757697,0.08987917348319206,0.8810404579260932,34.8,32.87,33.81
0.5,0.3158674875149607,0.08924856298379244,0.8629142167361084,15.77,16.87,16.3
0.52,0.30619975978002034,0.0841137453796327,0.8730579027296445,22.97,23.56,23.26
0.54,0.3035463388650001,0.07802124739770978,0.8400179120750749,8.89,8.59,8.74
