noise_prop,worker_avg_f1,worker_std_f1,test_accuracy,model_precision,model_recall,model_f1
0,0.611207552211469,0.171027502384613,0.927202990537752,69.36,57.22,62.71
0.05,0.581498134080748,0.161298240394868,0.925139207974767,65.46,56.83,60.84
0.1,0.551337301040835,0.154124425109891,0.926443674311748,68.36,56.49,61.86
0.15,0.522366630372579,0.141127789593757,0.924535648923328,65.79,55.3,60.09
0.2,0.492705599650181,0.137251043366408,0.923406409407733,63.29,57.05,60.01
0.25,0.471386663860045,0.123668454544074,0.92200459483665,62.98,55.45,58.97
0.3,0.428148314163627,0.122359415074248,0.924029438105993,66.69,53.73,59.51
0.35,0.403816858333423,0.111774706744403,0.923484287995016,68.93,54.59,60.93
0.4,0.380453057036995,0.095624663516409,0.915482263151746,58.13,50.77,54.2
0.45,0.344155676855796,0.093500098592423,0.888049530781512,30.59,33.36,31.92
0.5,0.310073588569895,0.087810286072803,0.873934036836572,26.89,28.44,27.64
0.55,0.278286850210733,0.080733987904953,0.840056851368716,10.1,11.08,10.57
0.6,0.272286350840029,0.068912316548962,0.83374868579884,6.42,6.25,6.33
0.65,0.217045571191964,0.061016892009081,0.827498929169425,10.32,11.84,11.03
0.7,0.186768065367858,0.059501308050008,0.822689926404735,18.25,21.27,19.65
0.75,0.154190796114569,0.043687272077689,0.822105837000117,1.57,1.8,1.68
0.8,0.161999997860652,0.044039576827364,0.828900743740509,4.39,4.16,4.27
0.85,0.103137780821837,0.030079619549454,0.822670456757914,9.98,11.74,10.79
0.9,0.086268746750816,0.023600444140238,0.823721817686227,2.52,2.95,2.72
0.95,0.034971371667398,0.010603722533058,0.818056150461431,16.99,21.49,18.97
